contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NDXP241127P17350000,2024-11-26 21:11:52+00:00,17350.0,0.05,0.0,0.05,0.0,0.0,51.0,59,0.9257819921875,False,REGULAR,USD,2024-11-27
NDXP241127P17400000,2024-11-22 19:27:58+00:00,17400.0,0.05,0.0,0.05,-1.25,-96.15385,1.0,26,0.9101571484375,False,REGULAR,USD,2024-11-27
NDXP241127P17425000,2024-11-15 17:09:10+00:00,17425.0,5.2,0.0,0.05,0.0,0.0,,1,0.9062509375,False,REGULAR,USD,2024-11-27
NDXP241127P17500000,2024-11-26 17:48:03+00:00,17500.0,0.1,0.0,20.0,0.0,0.0,5.0,6,1.5478843406677243,False,REGULAR,USD,2024-11-27
NDXP241127P17525000,2024-11-15 19:02:56+00:00,17525.0,7.6,0.0,20.0,0.0,0.0,,1,1.5366234106445311,False,REGULAR,USD,2024-11-27
NDXP241127P17750000,2024-11-06 20:32:55+00:00,17750.0,11.7,0.0,20.0,0.0,0.0,2.0,0,1.4357328018188475,False,REGULAR,USD,2024-11-27
NDXP241127P17800000,2024-11-27 14:42:55+00:00,17800.0,0.05,0.0,20.0,-1.1500001,-95.833336,1.0,2,1.4133635289001465,False,REGULAR,USD,2024-11-27
NDXP241127P17850000,2024-11-06 20:32:55+00:00,17850.0,12.6,0.0,20.0,0.0,0.0,2.0,0,1.3910247734069825,False,REGULAR,USD,2024-11-27
NDXP241127P17900000,2024-11-27 14:42:58+00:00,17900.0,0.05,0.0,20.0,-0.2,-80.0,1.0,20,1.3687165353393556,False,REGULAR,USD,2024-11-27
NDXP241127P17950000,2024-11-14 20:00:52+00:00,17950.0,3.2,0.0,20.0,0.0,0.0,,1,1.3464388146972652,False,REGULAR,USD,2024-11-27
NDXP241127P18000000,2024-11-25 15:31:35+00:00,18000.0,0.6,0.0,0.05,0.0,0.0,3.0,7,0.7460962890625,False,REGULAR,USD,2024-11-27
NDXP241127P18100000,2024-11-22 16:13:55+00:00,18100.0,1.95,0.0,20.0,0.0,0.0,12.0,9,1.279697205047607,False,REGULAR,USD,2024-11-27
NDXP241127P18150000,2024-11-22 16:25:36+00:00,18150.0,1.99,0.0,20.0,0.0,0.0,1.0,1,1.2574805192565917,False,REGULAR,USD,2024-11-27
NDXP241127P18200000,2024-11-26 16:37:38+00:00,18200.0,0.4,0.0,0.05,0.0,0.0,1.0,145,0.6914093359375001,False,REGULAR,USD,2024-11-27
NDXP241127P18250000,2024-11-20 15:44:16+00:00,18250.0,3.96,0.0,20.0,0.0,0.0,1.0,21,1.2131081825256345,False,REGULAR,USD,2024-11-27
NDXP241127P18300000,2024-11-21 20:42:02+00:00,18300.0,3.1,0.0,20.0,0.0,0.0,600.0,620,1.1909525315856933,False,REGULAR,USD,2024-11-27
NDXP241127P18350000,2024-11-22 16:06:18+00:00,18350.0,2.08,0.0,20.0,0.0,0.0,1.0,1,1.168796880645752,False,REGULAR,USD,2024-11-27
