contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
RUTW241113P01910000,2024-11-05 15:32:38+00:00,1910.0,0.94,0.0,4.8,0.0,0.0,,0,2.1298874877929688,False,REGULAR,USD,2024-11-13
RUTW241113P01915000,2024-10-30 19:40:58+00:00,1915.0,1.77,0.0,4.8,0.0,0.0,,327,2.10767074645996,False,REGULAR,USD,2024-11-13
RUTW241113P01960000,2024-11-07 20:48:32+00:00,1960.0,0.1,0.0,4.8,0.0,0.0,,2,1.910644978027344,False,REGULAR,USD,2024-11-13
RUTW241113P01970000,2024-10-31 17:11:05+00:00,1970.0,3.67,0.0,4.8,0.0,0.0,,2,1.8669440246582032,False,REGULAR,USD,2024-11-13
RUTW241113P01980000,2024-10-31 17:11:05+00:00,1980.0,4.01,0.0,4.8,0.0,0.0,,2,1.8237313500976562,False,REGULAR,USD,2024-11-13
RUTW241113P02000000,2024-11-05 20:27:50+00:00,2000.0,2.27,0.0,4.8,0.0,0.0,,1,1.7370618615722657,False,REGULAR,USD,2024-11-13
RUTW241113P02010000,2024-11-11 20:14:03+00:00,2010.0,0.05,0.0,4.8,0.0,0.0,1.0,1,1.6940933264160156,False,REGULAR,USD,2024-11-13
RUTW241113P02025000,2024-11-06 14:58:23+00:00,2025.0,0.42,0.0,4.8,0.0,0.0,,2,1.6293963842773436,False,REGULAR,USD,2024-11-13
RUTW241113P02030000,2024-10-30 18:35:55+00:00,2030.0,4.4,0.0,4.8,0.0,0.0,,1,1.6081562561035154,False,REGULAR,USD,2024-11-13
RUTW241113P02045000,2024-10-30 18:35:55+00:00,2045.0,5.2,0.0,4.8,0.0,0.0,,1,1.5437034533691407,False,REGULAR,USD,2024-11-13
RUTW241113P02050000,2024-11-06 14:58:23+00:00,2050.0,0.5,0.0,4.8,0.0,0.0,,4,1.5222191857910152,False,REGULAR,USD,2024-11-13
RUTW241113P02055000,2024-11-04 15:05:59+00:00,2055.0,8.0,0.0,4.8,0.0,0.0,,2,1.5009790576171875,False,REGULAR,USD,2024-11-13
RUTW241113P02060000,2024-11-04 15:04:55+00:00,2060.0,8.5,0.0,4.8,0.0,0.0,,1,1.4794947900390625,False,REGULAR,USD,2024-11-13
RUTW241113P02070000,2024-10-30 19:40:58+00:00,2070.0,7.47,0.0,4.8,0.0,0.0,,327,1.4367703942871093,False,REGULAR,USD,2024-11-13
RUTW241113P02075000,2024-11-08 18:22:42+00:00,2075.0,0.12,0.0,4.8,0.0,0.0,1.0,6,1.4155302661132816,False,REGULAR,USD,2024-11-13
RUTW241113P02080000,2024-10-30 19:55:19+00:00,2080.0,8.85,0.0,4.8,0.0,0.0,,5,1.394045998535156,False,REGULAR,USD,2024-11-13
RUTW241113P02085000,2024-11-08 18:22:42+00:00,2085.0,0.12,0.0,4.8,0.0,0.0,1.0,17,1.372805870361328,False,REGULAR,USD,2024-11-13
RUTW241113P02095000,2024-11-04 19:58:19+00:00,2095.0,10.94,0.0,4.8,0.0,0.0,1.0,7,1.3300814746093748,False,REGULAR,USD,2024-11-13
RUTW241113P02100000,2024-11-04 19:58:19+00:00,2100.0,11.69,0.0,4.8,0.0,0.0,,1,1.3088413464355466,False,REGULAR,USD,2024-11-13
RUTW241113P02110000,2024-10-31 15:02:43+00:00,2110.0,20.39,0.0,4.8,0.0,0.0,,0,1.2661169506835934,False,REGULAR,USD,2024-11-13
RUTW241113P02130000,2024-11-04 21:14:01+00:00,2130.0,18.1,0.0,4.8,0.0,0.0,,4,1.1809122985839844,False,REGULAR,USD,2024-11-13
RUTW241113P02140000,2024-11-06 14:46:24+00:00,2140.0,1.27,0.0,4.8,0.0,0.0,1.0,11,1.1383099725341796,False,REGULAR,USD,2024-11-13
RUTW241113P02145000,2024-11-12 17:53:52+00:00,2145.0,0.05,0.0,4.8,0.0,0.0,5.0,0,1.116947774658203,False,REGULAR,USD,2024-11-13
RUTW241113P02150000,2024-11-12 17:53:52+00:00,2150.0,0.05,0.0,4.8,0.0,0.0,5.0,7,1.0955855767822267,False,REGULAR,USD,2024-11-13
RUTW241113P02155000,2024-11-12 20:24:54+00:00,2155.0,0.1,0.0,4.8,0.0,0.0,52.0,63,1.0742233789062503,False,REGULAR,USD,2024-11-13
RUTW241113P02165000,2024-11-07 14:39:29+00:00,2165.0,0.47,0.0,4.8,0.0,0.0,1.0,13,1.0314989831542971,False,REGULAR,USD,2024-11-13
RUTW241113P02170000,2024-11-07 14:39:29+00:00,2170.0,0.52,0.0,4.8,0.0,0.0,1.0,23,1.0100147155761716,False,REGULAR,USD,2024-11-13
RUTW241113P02175000,2024-11-07 20:23:50+00:00,2175.0,0.37,0.0,4.8,0.0,0.0,5.0,15,0.9886475744628906,False,REGULAR,USD,2024-11-13
RUTW241113P02180000,2024-11-07 14:58:24+00:00,2180.0,0.52,0.0,4.8,0.0,0.0,3.0,3,0.9671634143066408,False,REGULAR,USD,2024-11-13
RUTW241113P02185000,2024-11-12 16:43:20+00:00,2185.0,0.1,0.0,4.8,0.0,0.0,52.0,62,0.9456792541503907,False,REGULAR,USD,2024-11-13
RUTW241113P02190000,2024-11-12 20:42:25+00:00,2190.0,0.1,0.0,0.05,0.0,0.0,18.0,36,0.5039112109375,False,REGULAR,USD,2024-11-13
RUTW241113P02195000,2024-11-01 14:59:13+00:00,2195.0,40.9,0.0,4.8,0.0,0.0,13.0,13,0.9027109338378907,False,REGULAR,USD,2024-11-13
RUTW241113P02200000,2024-11-08 21:05:10+00:00,2200.0,0.25,0.0,4.8,0.0,0.0,5.0,6,0.8811047045898437,False,REGULAR,USD,2024-11-13
RUTW241113P02205000,2024-11-12 20:29:32+00:00,2205.0,0.05,0.0,4.8,0.0,0.0,1.0,207,0.8594984753417969,False,REGULAR,USD,2024-11-13
RUTW241113P02210000,2024-10-30 19:05:28+00:00,2210.0,37.83,0.0,4.8,0.0,0.0,,1,0.8378922460937499,False,REGULAR,USD,2024-11-13
RUTW241113P02215000,2024-11-12 20:40:00+00:00,2215.0,0.05,0.0,4.8,0.0,0.0,1.0,245,0.8161639477539062,False,REGULAR,USD,2024-11-13
RUTW241113P02220000,2024-11-04 16:25:45+00:00,2220.0,45.1,0.0,4.8,0.0,0.0,1.0,2,0.7944356494140624,False,REGULAR,USD,2024-11-13
RUTW241113P02225000,2024-11-11 19:39:13+00:00,2225.0,0.08,0.0,4.8,0.0,0.0,10.0,26,0.7727073510742188,False,REGULAR,USD,2024-11-13
RUTW241113P02230000,2024-11-12 17:59:14+00:00,2230.0,0.08,0.0,4.8,0.0,0.0,97.0,114,0.7507349145507812,False,REGULAR,USD,2024-11-13
RUTW241113P02235000,2024-11-12 20:46:24+00:00,2235.0,0.05,0.0,4.8,0.0,0.0,2.0,9,0.7288845471191407,False,REGULAR,USD,2024-11-13
RUTW241113P02240000,2024-11-12 20:46:58+00:00,2240.0,0.1,0.0,4.8,0.0,0.0,35.0,59,0.7069121105957032,False,REGULAR,USD,2024-11-13
