contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
SPX241115P00200000,2024-06-18 00:16:20+00:00,200.0,0.1,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,2024-11-15
SPX241115P00400000,2024-11-11 17:39:19+00:00,400.0,0.05,0.0,0.0,0.0,0.0,80.0,1028,0.500005,False,REGULAR,USD,2024-11-15
SPX241115P00600000,2024-08-07 15:55:45+00:00,600.0,0.05,0.0,0.05,0.0,0.0,25.0,608,11.6875026953125,False,REGULAR,USD,2024-11-15
SPXW241115P00800000,2024-08-15 14:49:23+00:00,800.0,0.05,0.0,0.15,0.0,0.0,3.0,4,10.937503164062502,False,REGULAR,USD,2024-11-15
SPXW241115P01000000,2024-09-05 20:11:20+00:00,1000.0,0.05,0.0,0.25,0.0,0.0,1.0,2,10.062503710937502,False,REGULAR,USD,2024-11-15
SPXW241115P01200000,2024-08-12 15:25:02+00:00,1200.0,0.15,0.0,0.15,0.0,0.0,,12,8.718754550781249,False,REGULAR,USD,2024-11-15
SPX241115P01400000,2024-10-24 19:33:32+00:00,1400.0,0.05,0.0,0.0,0.0,0.0,4.0,286,0.500005,False,REGULAR,USD,2024-11-15
SPX241115P01600000,2024-10-25 20:10:49+00:00,1600.0,0.05,0.0,0.0,0.0,0.0,401.0,13412,0.500005,False,REGULAR,USD,2024-11-15
SPXW241115P01700000,2024-09-09 19:49:22+00:00,1700.0,0.2,0.0,0.2,0.0,0.0,1.0,26,6.9687512890625,False,REGULAR,USD,2024-11-15
SPXW241115P01800000,2024-09-25 17:13:34+00:00,1800.0,0.1,0.0,0.25,0.0,0.0,2.0,63,6.76562654296875,False,REGULAR,USD,2024-11-15
SPXW241115P01900000,2024-09-10 16:53:04+00:00,1900.0,0.2,0.0,0.15,0.0,0.0,59.0,245,6.234377207031249,False,REGULAR,USD,2024-11-15
SPXW241115P02000000,2024-10-21 14:46:03+00:00,2000.0,0.1,0.0,0.05,0.0,0.0,8.0,291,5.562503046874999,False,REGULAR,USD,2024-11-15
SPX241115P02100000,2024-10-21 13:30:09+00:00,2100.0,0.05,0.0,0.0,0.0,0.0,5.0,17492,0.500005,False,REGULAR,USD,2024-11-15
SPX241115P02200000,2024-10-31 18:58:07+00:00,2200.0,0.05,0.0,0.0,0.0,0.0,20.0,13950,0.500005,False,REGULAR,USD,2024-11-15
SPX241115P02300000,2024-10-31 17:42:07+00:00,2300.0,0.05,0.0,0.0,0.0,0.0,50.0,13484,0.500005,False,REGULAR,USD,2024-11-15
