contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
RUTW241112P01880000,2024-11-05 20:53:03+00:00,1880.0,0.6,0.0,0.05,0.0,0.0,8.0,7,1.421877890625,False,REGULAR,USD,2024-11-12
RUTW241112P01930000,2024-11-05 18:34:29+00:00,1930.0,0.75,0.0,0.05,0.0,0.0,9.0,9,1.2734411328124997,False,REGULAR,USD,2024-11-12
RUTW241112P01955000,2024-11-07 16:23:39+00:00,1955.0,0.12,0.0,0.05,0.0,0.0,4.0,4,1.203128984375,False,REGULAR,USD,2024-11-12
RUTW241112P02000000,2024-10-30 16:14:09+00:00,2000.0,2.56,0.0,0.05,0.0,0.0,,2,1.078129609375,False,REGULAR,USD,2024-11-12
RUTW241112P02010000,2024-10-30 16:14:09+00:00,2010.0,2.8,0.0,0.05,0.0,0.0,,2,1.0468797656250002,False,REGULAR,USD,2024-11-12
RUTW241112P02020000,2024-11-01 13:42:08+00:00,2020.0,4.16,0.0,0.05,0.0,0.0,7.0,8,1.0234423828125,False,REGULAR,USD,2024-11-12
RUTW241112P02030000,2024-11-01 13:42:08+00:00,2030.0,4.68,0.0,0.05,0.0,0.0,7.0,7,0.992187578125,False,REGULAR,USD,2024-11-12
RUTW241112P02035000,2024-11-06 16:37:47+00:00,2035.0,0.2,0.0,0.05,0.0,0.0,5.0,12,0.976562734375,False,REGULAR,USD,2024-11-12
RUTW241112P02045000,2024-10-28 16:38:55+00:00,2045.0,5.34,0.0,0.05,0.0,0.0,,7,0.95312546875,False,REGULAR,USD,2024-11-12
RUTW241112P02050000,2024-11-07 20:44:05+00:00,2050.0,0.1,0.0,0.05,0.0,0.0,14.0,14,0.937500625,False,REGULAR,USD,2024-11-12
RUTW241112P02055000,2024-11-06 14:33:24+00:00,2055.0,0.5,0.0,0.05,0.0,0.0,1.0,1,0.92187578125,False,REGULAR,USD,2024-11-12
RUTW241112P02060000,2024-11-07 20:44:05+00:00,2060.0,0.15,0.0,0.05,0.0,0.0,,14,0.9101571484375,False,REGULAR,USD,2024-11-12
RUTW241112P02065000,2024-11-06 14:33:24+00:00,2065.0,0.55,0.0,0.05,0.0,0.0,1.0,1,0.8984385156249999,False,REGULAR,USD,2024-11-12
RUTW241112P02070000,2024-11-07 16:23:39+00:00,2070.0,0.17,0.0,0.05,0.0,0.0,4.0,4,0.8828136718749999,False,REGULAR,USD,2024-11-12
RUTW241112P02075000,2024-11-08 18:07:21+00:00,2075.0,0.05,0.0,0.05,0.0,0.0,1.0,1,0.867188828125,False,REGULAR,USD,2024-11-12
RUTW241112P02080000,2024-11-04 14:42:23+00:00,2080.0,10.4,0.0,0.05,0.0,0.0,1.0,5,0.8554701953125,False,REGULAR,USD,2024-11-12
RUTW241112P02085000,2024-11-08 18:07:21+00:00,2085.0,0.05,0.0,0.05,0.0,0.0,1.0,1,0.8437515624999999,False,REGULAR,USD,2024-11-12
RUTW241112P02090000,2024-10-29 20:00:32+00:00,2090.0,9.1,0.0,0.05,0.0,0.0,,4,0.8281267187499999,False,REGULAR,USD,2024-11-12
RUTW241112P02100000,2024-11-08 20:42:42+00:00,2100.0,0.08,0.0,0.05,0.0,0.0,5.0,6,0.8007832421875,False,REGULAR,USD,2024-11-12
