contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
JNJ241122P00130000,2024-11-18,130.0,0.05,0.0,0.01,0.0,0.0,1.0,14,0.6250037500000001,False,REGULAR,USD,2024-11-22
JNJ241122P00135000,2024-11-15,135.0,0.38,0.0,0.39,0.0,0.0,1.0,21,0.8164080859374999,False,REGULAR,USD,2024-11-22
JNJ241122P00139000,2024-11-19,139.0,0.02,0.01,0.11,0.0,0.0,8.0,9,0.53320779296875,False,REGULAR,USD,2024-11-22
JNJ241122P00140000,2024-11-14,140.0,0.1,0.01,0.04,0.0,0.0,2.0,357,0.4687553125,False,REGULAR,USD,2024-11-22
JNJ241122P00141000,2024-11-18,141.0,0.02,0.01,0.44,0.0,0.0,,2,0.5986368261718751,False,REGULAR,USD,2024-11-22
JNJ241122P00143000,2024-11-19,143.0,0.04,0.04,0.11,0.0,0.0,182.0,206,0.44336494140625,False,REGULAR,USD,2024-11-22
JNJ241122P00144000,2024-11-14,144.0,0.08,0.01,0.39,0.0,0.0,1.0,22,0.5493209130859377,False,REGULAR,USD,2024-11-22
JNJ241122P00145000,2024-11-20,145.0,0.04,0.04,0.06,0.0,0.0,140.0,496,0.3281317187499999,False,REGULAR,USD,2024-11-22
JNJ241122P00146000,2024-11-20,146.0,0.04,0.04,0.1,-0.030000001,-33.333332,13.0,126,0.3252020605468749,False,REGULAR,USD,2024-11-22
JNJ241122P00147000,2024-11-20,147.0,0.05,0.05,0.09,-0.009999998,-16.666662,1.0,43,0.2812571874999999,False,REGULAR,USD,2024-11-22
JNJ241122P00148000,2024-11-20,148.0,0.1,0.07,0.1,-0.009999998,-9.090907,1.0,117,0.249030947265625,False,REGULAR,USD,2024-11-22
JNJ241122P00149000,2024-11-20,149.0,0.11,0.09,0.13,0.0,0.0,4.0,214,0.2246171289062499,False,REGULAR,USD,2024-11-22
JNJ241122P00150000,2024-11-20,150.0,0.18,0.15,0.17,-0.03999999,-18.181814,205.0,577,0.1967853759765624,False,REGULAR,USD,2024-11-22
JNJ241122P00152500,2024-11-20,152.5,0.62,0.55,0.65,-0.19,-23.45679,235.0,864,0.16602396484375,False,REGULAR,USD,2024-11-22
JNJ241122P00155000,2024-11-20,155.0,2.55,2.12,2.24,-0.09000015,-3.4090965,9.0,1141,0.1821370849609375,True,REGULAR,USD,2024-11-22
JNJ241122P00157500,2024-11-20,157.5,4.64,4.35,4.6,-0.11000013,-2.3157923,9.0,135,0.256843369140625,True,REGULAR,USD,2024-11-22
JNJ241122P00160000,2024-11-19,160.0,7.78,6.9,7.15,0.0,0.0,7.0,169,0.375982802734375,True,REGULAR,USD,2024-11-22
JNJ241122P00162500,2024-11-19,162.5,10.26,9.45,9.7,0.0,0.0,1.0,3,0.491216025390625,True,REGULAR,USD,2024-11-22
JNJ241122P00165000,2024-11-14,165.0,13.4,11.9,12.15,0.0,0.0,265.0,0,0.5576216113281252,True,REGULAR,USD,2024-11-22
JNJ241122P00170000,2024-11-01,170.0,9.3,16.9,17.15,0.0,0.0,1.0,0,0.6289099609375001,True,REGULAR,USD,2024-11-22
JNJ241122P00172500,2024-11-15,172.5,19.5,18.85,19.6,0.0,0.0,20.0,5,0.764650791015625,True,REGULAR,USD,2024-11-22
JNJ241122P00175000,2024-11-15,175.0,22.05,21.25,22.15,0.0,0.0,1.0,0,0.87500125,True,REGULAR,USD,2024-11-22
JNJ241122P00180000,2024-11-08,180.0,23.5,26.25,29.1,0.0,0.0,1.0,0,1.3046909765624997,True,REGULAR,USD,2024-11-22
JNJ241129P00130000,2024-11-20,130.0,0.03,0.02,0.04,-0.01,-25.0,61.0,26,0.4335994140625,False,REGULAR,USD,2024-11-29
JNJ241129P00135000,2024-11-19,135.0,0.08,0.02,0.45,0.0,0.0,4.0,12,0.5361374511718751,False,REGULAR,USD,2024-11-29
JNJ241129P00140000,2024-11-18,140.0,0.09,0.05,0.18,0.0,0.0,13.0,75,0.33399103515625,False,REGULAR,USD,2024-11-29
JNJ241129P00143000,2024-11-20,143.0,0.13,0.1,0.14,0.029999994,29.999992,23.0,25,0.254890263671875,False,REGULAR,USD,2024-11-29
JNJ241129P00144000,2024-11-20,144.0,0.14,0.12,0.15,0.0,0.0,3.0,506,0.2373123144531249,False,REGULAR,USD,2024-11-29
JNJ241129P00145000,2024-11-20,145.0,0.17,0.14,0.18,-0.010000005,-5.555558,21.0,137,0.225593681640625,False,REGULAR,USD,2024-11-29
JNJ241129P00146000,2024-11-20,146.0,0.22,0.19,0.22,-0.050000012,-18.518522,9.0,15,0.213875048828125,False,REGULAR,USD,2024-11-29
JNJ241129P00147000,2024-11-20,147.0,0.27,0.24,0.28,-0.06999999,-20.588232,9.0,25,0.2036212451171875,False,REGULAR,USD,2024-11-29
JNJ241129P00148000,2024-11-19,148.0,0.45,0.28,0.37,0.060000002,15.384616,48.0,44,0.195320546875,False,REGULAR,USD,2024-11-29
JNJ241129P00149000,2024-11-20,149.0,0.54,0.48,0.52,-0.049999952,-8.474568,12.0,128,0.1914143359375,False,REGULAR,USD,2024-11-29
JNJ241129P00150000,2024-11-20,150.0,0.8,0.68,0.75,-0.050000012,-5.882354,53.0,854,0.1911701977539062,False,REGULAR,USD,2024-11-29
JNJ241129P00152500,2024-11-20,152.5,1.87,1.67,1.77,-0.08000004,-4.102566,61.0,148,0.2036212451171875,False,REGULAR,USD,2024-11-29
JNJ241129P00155000,2024-11-20,155.0,3.66,3.35,3.5,-0.03999996,-1.0810801,14.0,1264,0.2388992126464843,True,REGULAR,USD,2024-11-29
JNJ241129P00157500,2024-11-20,157.5,5.65,5.6,5.75,-0.3499999,-5.833332,10.0,249,0.2981027221679687,True,REGULAR,USD,2024-11-29
