contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
XOM241122C00075000,2024-11-13 20:55:02+00:00,75.0,46.6,42.4,44.95,0.0,0.0,3.0,0.0,1.8046884765625,True,REGULAR,USD,2024-11-22
XOM241122C00100000,2024-11-14 15:30:09+00:00,100.0,21.2,18.4,18.85,0.0,0.0,,3.0,0.97851583984375,True,REGULAR,USD,2024-11-22
XOM241122C00105000,2024-11-19 17:21:28+00:00,105.0,13.95,13.3,14.05,-2.500001,-15.197574,1.0,2.0,0.5625043750000001,True,REGULAR,USD,2024-11-22
XOM241122C00107000,2024-11-13 19:20:49+00:00,107.0,15.1,11.35,12.1,0.0,0.0,5.0,0.0,0.5507857421875001,True,REGULAR,USD,2024-11-22
XOM241122C00108000,2024-11-13 19:20:49+00:00,108.0,13.75,10.35,11.05,0.0,0.0,5.0,0.0,0.7128934960937501,True,REGULAR,USD,2024-11-22
XOM241122C00110000,2024-11-18 14:52:08+00:00,110.0,9.8,8.45,8.85,0.0,0.0,1.0,232.0,0.5117236328125,True,REGULAR,USD,2024-11-22
XOM241122C00111000,2024-11-18 14:52:08+00:00,111.0,8.8,7.3,7.95,0.0,0.0,1.0,1.0,0.5127001855468749,True,REGULAR,USD,2024-11-22
XOM241122C00112000,2024-11-13 19:20:49+00:00,112.0,9.75,6.2,7.2,0.0,0.0,10.0,0.0,0.5556685058593751,True,REGULAR,USD,2024-11-22
XOM241122C00113000,2024-11-14 15:10:12+00:00,113.0,8.6,5.35,5.85,0.0,0.0,8.0,8.0,0.368170380859375,True,REGULAR,USD,2024-11-22
XOM241122C00114000,2024-11-19 15:32:30+00:00,114.0,5.0,4.5,4.9,-2.3000002,-31.506851,1.0,3.0,0.3388737988281249,True,REGULAR,USD,2024-11-22
XOM241122C00115000,2024-11-19 19:12:03+00:00,115.0,3.85,3.7,4.45,-1.7800002,-31.616343,21.0,16.0,0.4443414941406249,True,REGULAR,USD,2024-11-22
XOM241122C00116000,2024-11-19 20:02:22+00:00,116.0,2.63,2.64,3.55,-1.9699998,-42.826084,26.0,30.0,0.40039662109375,True,REGULAR,USD,2024-11-22
XOM241122C00117000,2024-11-19 20:22:15+00:00,117.0,1.83,1.96,2.29,-1.82,-49.863014,12.0,53.0,0.26758544921875,True,REGULAR,USD,2024-11-22
XOM241122C00118000,2024-11-19 20:57:46+00:00,118.0,1.38,1.23,1.57,-1.4799999,-51.74825,431.0,200.0,0.2487868090820312,True,REGULAR,USD,2024-11-22
XOM241122C00119000,2024-11-19 20:58:34+00:00,119.0,0.78,0.76,0.83,-1.14,-59.375,1226.0,343.0,0.2024005541992187,False,REGULAR,USD,2024-11-22
XOM241122C00120000,2024-11-19 20:58:58+00:00,120.0,0.42,0.4,0.42,-0.9000001,-68.18182,2814.0,1615.0,0.1909260595703125,False,REGULAR,USD,2024-11-22
XOM241122C00121000,2024-11-19 20:59:35+00:00,121.0,0.2,0.19,0.22,-0.62,-75.60976,2404.0,1844.0,0.196297099609375,False,REGULAR,USD,2024-11-22
XOM241122C00122000,2024-11-19 20:59:41+00:00,122.0,0.1,0.08,0.1,-0.33,-76.74419,3687.0,5379.0,0.19727365234375,False,REGULAR,USD,2024-11-22
XOM241122C00123000,2024-11-19 20:58:53+00:00,123.0,0.04,0.03,0.09,-0.19,-82.608696,1919.0,1365.0,0.233406103515625,False,REGULAR,USD,2024-11-22
XOM241122C00124000,2024-11-19 20:20:52+00:00,124.0,0.03,0.02,0.05,-0.08,-72.72727,687.0,1253.0,0.242195078125,False,REGULAR,USD,2024-11-22
XOM241122C00125000,2024-11-19 20:13:24+00:00,125.0,0.01,0.01,0.02,-0.049999997,-83.333336,3492.0,6035.0,0.2382888671874999,False,REGULAR,USD,2024-11-22
XOM241122C00126000,2024-11-19 17:45:15+00:00,126.0,0.01,0.0,0.03,-0.02,-66.66667,23.0,959.0,0.2851633984374999,False,REGULAR,USD,2024-11-22
XOM241122C00127000,2024-11-18 20:54:45+00:00,127.0,0.01,0.0,0.02,0.0,0.0,318.0,871.0,0.3007882421875,False,REGULAR,USD,2024-11-22
XOM241122C00128000,2024-11-18 14:54:53+00:00,128.0,0.01,0.0,0.04,0.0,0.0,1.0,1409.0,0.3632876171875,False,REGULAR,USD,2024-11-22
XOM241122C00129000,2024-11-19 14:32:51+00:00,129.0,0.03,0.0,0.24,0.01,50.0,4.0,118.0,0.5546919531250001,False,REGULAR,USD,2024-11-22
XOM241122C00130000,2024-11-19 18:41:04+00:00,130.0,0.01,0.0,0.01,0.0,0.0,16.0,589.0,0.3515689843749999,False,REGULAR,USD,2024-11-22
XOM241122C00131000,2024-11-14 19:16:03+00:00,131.0,0.01,0.0,0.75,0.0,0.0,1.0,14.0,0.702151416015625,False,REGULAR,USD,2024-11-22
XOM241122C00132000,2024-11-07 16:46:51+00:00,132.0,0.3,0.0,0.01,0.0,0.0,8.0,101.0,0.4062559375,False,REGULAR,USD,2024-11-22
XOM241122C00133000,2024-11-07 16:47:46+00:00,133.0,0.06,0.0,0.69,0.0,0.0,16.0,40.0,0.76367423828125,False,REGULAR,USD,2024-11-22
XOM241122C00134000,2024-11-18 14:32:03+00:00,134.0,0.75,0.0,0.63,0.0,0.0,1.0,113.0,0.7841818457031251,False,REGULAR,USD,2024-11-22
XOM241122C00135000,2024-11-15 20:51:27+00:00,135.0,0.01,0.0,0.01,0.0,0.0,1.0,102.0,0.476567734375,False,REGULAR,USD,2024-11-22
XOM241122C00138000,2024-11-11 14:38:09+00:00,138.0,0.02,,0.55,0.0,0.0,,2.0,1.0537156689453124,False,REGULAR,USD,2024-11-22
XOM241122C00139000,2024-11-18 14:38:27+00:00,139.0,0.66,,,0.66,0.0,,,0.0,False,REGULAR,USD,2024-11-22
XOM241122C00140000,2024-11-18 18:25:24+00:00,140.0,0.01,0.0,0.01,0.0,0.0,1.0,184.0,0.5625043750000001,False,REGULAR,USD,2024-11-22
XOM241122C00145000,2024-11-06 14:48:56+00:00,145.0,1.28,0.0,0.01,0.0,0.0,1.0,8.0,0.6562534375000001,False,REGULAR,USD,2024-11-22
XOM241122C00150000,2024-11-18 14:38:49+00:00,150.0,0.02,0.0,0.52,0.0,0.0,3.0,203.0,1.255863095703125,False,REGULAR,USD,2024-11-22
XOM241129C00075000,2024-11-13 20:55:45+00:00,75.0,46.65,42.5,45.0,0.0,0.0,2.0,0.0,1.2382850585937497,True,REGULAR,USD,2024-11-29
XOM241129C00080000,2024-11-13 20:56:19+00:00,80.0,41.55,37.5,40.0,0.0,0.0,,0.0,1.08203583984375,True,REGULAR,USD,2024-11-29
XOM241129C00085000,2024-11-13 20:56:19+00:00,85.0,36.55,32.5,35.0,0.0,0.0,2.0,0.0,0.93554751953125,True,REGULAR,USD,2024-11-29
XOM241129C00100000,2024-11-13 20:56:19+00:00,100.0,21.55,18.4,19.15,0.0,0.0,2.0,0.0,0.5449264257812501,True,REGULAR,USD,2024-11-29
XOM241129C00105000,2024-11-19 17:21:28+00:00,105.0,14.13,13.4,14.15,-1.7200003,-10.851737,1.0,3.0,0.5537154003906251,True,REGULAR,USD,2024-11-29
