contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NDXP241129P16800000,2024-11-27 21:13:05+00:00,16800.0,0.05,0.0,0.05,0.0,0.0,76.0,0,1.125004375,False,REGULAR,USD,2024-11-29
NDXP241129P16825000,2024-11-27 20:55:56+00:00,16825.0,0.1,0.0,0.05,0.0,0.0,20.0,0,1.1171919140625,False,REGULAR,USD,2024-11-29
NDXP241129P16850000,2024-11-27 20:59:27+00:00,16850.0,0.1,0.0,0.05,0.0,0.0,4.0,23,1.109379453125,False,REGULAR,USD,2024-11-29
NDXP241129P16875000,2024-11-22 16:06:12+00:00,16875.0,1.6,0.0,19.8,0.0,0.0,1.0,7,1.8957524743652345,False,REGULAR,USD,2024-11-29
NDXP241129P16925000,2024-11-22 21:00:16+00:00,16925.0,0.9,0.0,19.8,0.0,0.0,4.0,0,1.8729559574890136,False,REGULAR,USD,2024-11-29
NDXP241129P16950000,2024-11-07 20:55:58+00:00,16950.0,7.15,0.0,0.25,0.0,0.0,4.0,11,1.203128984375,False,REGULAR,USD,2024-11-29
NDXP241129P16975000,2024-11-22 17:54:50+00:00,16975.0,2.5,0.0,0.25,0.0,0.0,3.0,3,1.1953165234375,False,REGULAR,USD,2024-11-29
NDXP241129P17000000,2024-11-21 17:46:09+00:00,17000.0,1.9,0.0,0.25,0.0,0.0,20.0,22,1.1875040625,False,REGULAR,USD,2024-11-29
NDXP241129P17025000,2024-11-27 18:22:36+00:00,17025.0,0.4,0.0,0.25,0.0,0.0,1.0,1,1.1796916015624999,False,REGULAR,USD,2024-11-29
NDXP241129P17050000,2024-11-25 20:00:20+00:00,17050.0,0.3,0.0,0.25,0.0,0.0,1.0,12,1.171879140625,False,REGULAR,USD,2024-11-29
NDXP241129P17100000,2024-11-15 19:02:56+00:00,17100.0,6.8,0.0,19.8,0.0,0.0,,3,1.7934580639648439,False,REGULAR,USD,2024-11-29
NDXP241129P17150000,2024-11-07 20:55:58+00:00,17150.0,7.75,0.0,0.25,0.0,0.0,8.0,16,1.140629296875,False,REGULAR,USD,2024-11-29
NDXP241129P17200000,2024-11-06 18:11:49+00:00,17200.0,8.9,0.0,0.25,0.0,0.0,1.0,0,1.125004375,False,REGULAR,USD,2024-11-29
NDXP241129P17225000,2024-11-22 20:51:09+00:00,17225.0,1.2,0.0,19.8,0.0,0.0,2.0,2,1.7370008267211916,False,REGULAR,USD,2024-11-29
NDXP241129P17250000,2024-11-25 18:20:48+00:00,17250.0,0.45,0.0,19.8,0.0,0.0,1.0,10,1.725709379272461,False,REGULAR,USD,2024-11-29
NDXP241129P17275000,2024-11-22 20:52:19+00:00,17275.0,1.2,0.0,19.8,0.0,0.0,27.0,0,1.7144789666748046,False,REGULAR,USD,2024-11-29
NDXP241129P17300000,2024-11-06 18:11:49+00:00,17300.0,9.45,0.0,19.8,0.0,0.0,1.0,0,1.7032485540771485,False,REGULAR,USD,2024-11-29
NDXP241129P17325000,2024-10-23 16:55:22+00:00,17325.0,50.9,0.8,1.3,0.0,0.0,,4,1.2988316308593748,False,REGULAR,USD,2024-11-29
NDXP241129P17350000,2024-11-22 20:51:28+00:00,17350.0,1.25,0.0,19.8,0.0,0.0,22.0,28,1.680757211456299,False,REGULAR,USD,2024-11-29
NDXP241129P17375000,2024-10-11 15:00:11+00:00,17375.0,78.3,2.45,5.9,0.0,0.0,,3,1.4887720874023436,False,REGULAR,USD,2024-11-29
NDXP241129P17400000,2024-11-22 20:52:04+00:00,17400.0,1.25,0.0,19.8,0.0,0.0,1.0,1,1.6583269036865236,False,REGULAR,USD,2024-11-29
NDXP241129P17425000,2024-10-30 18:47:05+00:00,17425.0,33.0,0.0,19.8,0.0,0.0,1.0,2,1.647096491088867,False,REGULAR,USD,2024-11-29
NDXP241129P17450000,2024-10-23 16:55:22+00:00,17450.0,55.8,0.85,1.35,0.0,0.0,1.0,2,1.2595251867675783,False,REGULAR,USD,2024-11-29
NDXP241129P17500000,2024-11-22 16:28:10+00:00,17500.0,2.25,0.0,19.8,0.0,0.0,1.0,0,1.613527322998047,False,REGULAR,USD,2024-11-29
NDXP241129P17550000,2024-10-23 16:55:22+00:00,17550.0,60.2,0.9,1.45,0.0,0.0,,1,1.2314491552734375,False,REGULAR,USD,2024-11-29
NDXP241129P17600000,2024-11-14 17:40:33+00:00,17600.0,3.2,0.0,0.25,0.0,0.0,1.0,0,1.001958115234375,False,REGULAR,USD,2024-11-29
NDXP241129P17625000,2024-11-21 15:04:53+00:00,17625.0,2.55,0.0,0.25,0.0,0.0,1.0,7,0.9941406835937501,False,REGULAR,USD,2024-11-29
NDXP241129P17650000,2024-11-20 15:08:16+00:00,17650.0,3.68,0.0,0.25,0.0,0.0,,2,0.9863282617187501,False,REGULAR,USD,2024-11-29
NDXP241129P17675000,2024-11-22 18:14:04+00:00,17675.0,3.3,0.0,0.25,0.0,0.0,20.0,20,0.9785158398437501,False,REGULAR,USD,2024-11-29
NDXP241129P17700000,2024-11-22 18:13:46+00:00,17700.0,3.3,0.0,0.05,0.0,0.0,42.0,64,0.8710950390625,False,REGULAR,USD,2024-11-29
NDXP241129P17750000,2024-10-25 17:58:01+00:00,17750.0,56.05,0.0,0.45,0.0,0.0,4.0,4,0.9995117236328125,False,REGULAR,USD,2024-11-29
NDXP241129P17775000,2024-11-06 16:02:12+00:00,17775.0,14.5,0.0,19.8,0.0,0.0,1.0,2,1.4910303768920894,False,REGULAR,USD,2024-11-29
NDXP241129P17800000,2024-11-27 21:11:38+00:00,17800.0,0.05,0.0,0.25,0.0,0.0,2.0,9,0.940430283203125,False,REGULAR,USD,2024-11-29
NDXP241129P17850000,2024-11-20 15:08:16+00:00,17850.0,4.03,0.0,19.8,0.0,0.0,2.0,0,1.4577969004821776,False,REGULAR,USD,2024-11-29
NDXP241129P17875000,2024-10-29 16:07:00+00:00,17875.0,46.4,0.0,0.25,0.0,0.0,,2,0.9179695703125,False,REGULAR,USD,2024-11-29
NDXP241129P17900000,2024-11-27 19:45:54+00:00,17900.0,0.05,0.0,0.25,0.0,0.0,2.0,23,0.9101571484375,False,REGULAR,USD,2024-11-29
NDXP241129P17925000,2024-11-04 17:39:08+00:00,17925.0,63.65,0.0,19.8,0.0,0.0,2.0,11,1.4245939414978028,False,REGULAR,USD,2024-11-29
NDXP241129P17975000,2024-10-11 16:13:17+00:00,17975.0,110.1,3.2,7.9,0.0,0.0,,3,1.2923619366455077,False,REGULAR,USD,2024-11-29
NDXP241129P18000000,2024-11-26 21:08:40+00:00,18000.0,0.45,0.0,0.25,0.0,0.0,4.0,0,0.8798840136718749,False,REGULAR,USD,2024-11-29
NDXP241129P18025000,2024-10-14 17:12:01+00:00,18025.0,91.2,3.3,4.8,0.0,0.0,,2,1.220707021484375,False,REGULAR,USD,2024-11-29
NDXP241129P18050000,2024-11-26 17:25:33+00:00,18050.0,0.43,0.0,0.25,0.0,0.0,3.0,6,0.8652357226562499,False,REGULAR,USD,2024-11-29
NDXP241129P18100000,2024-11-29 14:58:56+00:00,18100.0,0.05,0.0,0.05,-0.55,-91.666664,1.0,102,0.7617211328125001,False,REGULAR,USD,2024-11-29
NDXP241129P18125000,2024-10-11 16:13:17+00:00,18125.0,121.3,8.0,8.8,0.0,0.0,,1,1.3040806280517574,False,REGULAR,USD,2024-11-29
NDXP241129P18150000,2024-11-22 20:50:47+00:00,18150.0,1.7,0.0,0.25,0.0,0.0,3.0,0,0.8349625878906248,False,REGULAR,USD,2024-11-29
