contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
XOM241129C00075000,2024-11-13 20:55:45+00:00,75.0,46.65,41.75,44.7,0.0,0.0,2.0,0,4.6093792382812495,True,REGULAR,USD,2024-11-29
XOM241129C00080000,2024-11-13 20:56:19+00:00,80.0,41.55,36.35,40.15,0.0,0.0,,0,4.1015673730468745,True,REGULAR,USD,2024-11-29
XOM241129C00085000,2024-11-13 20:56:19+00:00,85.0,36.55,31.8,35.05,0.0,0.0,2.0,0,3.8945315136718754,True,REGULAR,USD,2024-11-29
XOM241129C00100000,2024-11-13 20:56:19+00:00,100.0,21.55,17.9,18.5,0.0,0.0,2.0,0,1.9394534277343751,True,REGULAR,USD,2024-11-29
XOM241129C00105000,2024-11-27 16:20:48+00:00,105.0,13.43,12.35,13.6,0.0,0.0,1.0,3,0.92187578125,True,REGULAR,USD,2024-11-29
XOM241129C00106000,2024-11-18 14:52:08+00:00,106.0,13.9,12.2,12.55,0.0,0.0,1.0,0,1.5683615332031249,True,REGULAR,USD,2024-11-29
XOM241129C00107000,2024-11-27 16:20:48+00:00,107.0,11.42,10.9,11.5,0.0,0.0,1.0,0,1.2753942480468747,True,REGULAR,USD,2024-11-29
XOM241129C00108000,2024-11-13 16:09:53+00:00,108.0,11.84,8.7,11.45,0.0,0.0,1.0,0,1.0039112304687499,True,REGULAR,USD,2024-11-29
XOM241129C00110000,2024-11-29 15:08:24+00:00,110.0,8.0,6.5,8.45,-4.0,-33.333336,232.0,232,1.2089883300781248,True,REGULAR,USD,2024-11-29
XOM241129C00111000,2024-11-22 16:16:15+00:00,111.0,11.15,6.15,7.45,0.0,0.0,1.0,2,1.0976607617187502,True,REGULAR,USD,2024-11-29
XOM241129C00112000,2024-10-15 15:52:28+00:00,112.0,10.51,9.25,10.0,0.0,0.0,,0,2.582034794921875,True,REGULAR,USD,2024-11-29
XOM241129C00113000,2024-11-26 15:36:32+00:00,113.0,6.1,4.15,5.45,0.0,0.0,11.0,7,0.8710950390625,True,REGULAR,USD,2024-11-29
XOM241129C00114000,2024-11-20 20:45:14+00:00,114.0,6.5,2.85,4.55,0.0,0.0,4.0,0,0.8125018749999999,True,REGULAR,USD,2024-11-29
XOM241129C00115000,2024-11-29 17:58:46+00:00,115.0,3.1,2.88,3.15,-0.35000014,-10.144932,9.0,0,0.445318046875,True,REGULAR,USD,2024-11-29
XOM241129C00116000,2024-11-29 17:47:55+00:00,116.0,2.41,1.85,2.18,0.45000005,22.959187,16.0,0,0.35645174804687496,True,REGULAR,USD,2024-11-29
XOM241129C00117000,2024-11-29 17:33:03+00:00,117.0,1.32,1.23,1.56,0.6100001,85.915504,61.0,0,0.411138701171875,True,REGULAR,USD,2024-11-29
XOM241129C00118000,2024-11-29 17:59:50+00:00,118.0,0.09,0.07,0.16,-0.19999999,-68.965515,2523.0,0,0.0727631787109375,False,REGULAR,USD,2024-11-29
XOM241129C00119000,2024-11-29 17:44:52+00:00,119.0,0.01,0.0,0.01,-0.060000002,-85.71429,1682.0,2525,0.0976652734375,False,REGULAR,USD,2024-11-29
XOM241129C00120000,2024-11-29 17:25:48+00:00,120.0,0.01,0.0,0.01,-0.02,-66.66667,147.0,0,0.16797707031250003,False,REGULAR,USD,2024-11-29
XOM241129C00121000,2024-11-29 17:47:20+00:00,121.0,0.01,0.0,0.01,0.0,0.0,19.0,0,0.23438265625,False,REGULAR,USD,2024-11-29
XOM241129C00122000,2024-11-29 17:48:24+00:00,122.0,0.01,0.0,0.01,0.0,0.0,31.0,0,0.29688203124999996,False,REGULAR,USD,2024-11-29
XOM241129C00123000,2024-11-29 17:16:27+00:00,123.0,0.01,0.0,0.01,-0.01,-50.0,56.0,3264,0.35938140625,False,REGULAR,USD,2024-11-29
