contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NVDA241129C00050000,2024-11-22 20:40:47+00:00,50.0,91.67,90.0,93.35,-5.2300034,-5.3973203,63.0,51.0,4.844730506591796,True,REGULAR,USD,2024-11-29
NVDA241129C00055000,2024-11-22 20:49:56+00:00,55.0,86.98,85.0,87.4,3.130005,3.7328622,10.0,130.0,3.57031357421875,True,REGULAR,USD,2024-11-29
NVDA241129C00060000,2024-11-22 16:24:02+00:00,60.0,82.53,80.0,82.4,4.0599976,5.173949,3.0,11.0,3.269533076171875,True,REGULAR,USD,2024-11-29
NVDA241129C00065000,2024-11-22 16:54:10+00:00,65.0,77.15,75.0,77.4,-3.0,-3.7429817,5.0,22.0,2.99219001953125,True,REGULAR,USD,2024-11-29
NVDA241129C00070000,2024-11-22 16:50:56+00:00,70.0,72.25,70.0,73.4,-5.75,-7.371795,67.0,125.0,3.459962287597657,True,REGULAR,USD,2024-11-29
NVDA241129C00075000,2024-11-22 18:59:33+00:00,75.0,67.04,65.0,68.35,-2.3499985,-3.386653,21.0,80.0,3.1435568286132813,True,REGULAR,USD,2024-11-29
NVDA241129C00080000,2024-11-22 20:50:26+00:00,80.0,61.92,60.0,63.35,-2.1100006,-3.2953315,23.0,107.0,2.874026252441406,True,REGULAR,USD,2024-11-29
NVDA241129C00085000,2024-11-22 20:48:46+00:00,85.0,56.64,55.0,58.4,-5.3500023,-8.630427,81.0,207.0,2.641604958496094,True,REGULAR,USD,2024-11-29
NVDA241129C00090000,2024-11-22 18:47:07+00:00,90.0,52.06,50.0,53.35,-2.7700005,-5.0519795,113.0,97.0,2.377445462646484,True,REGULAR,USD,2024-11-29
NVDA241129C00095000,2024-11-22 15:57:33+00:00,95.0,46.75,46.65,47.4,-4.9799995,-9.626908,24.0,130.0,1.26172244140625,True,REGULAR,USD,2024-11-29
NVDA241129C00098000,2024-11-21 17:45:00+00:00,98.0,46.0,43.65,44.45,-0.6899986,-1.4778297,4.0,75.0,1.22266013671875,True,REGULAR,USD,2024-11-29
NVDA241129C00099000,2024-11-22 19:35:29+00:00,99.0,42.95,42.5,43.55,-1.6499977,-3.6995466,62.0,10.0,1.14453552734375,True,REGULAR,USD,2024-11-29
NVDA241129C00100000,2024-11-22 20:59:23+00:00,100.0,42.2,41.35,42.8,-4.799999,-10.212764,348.0,1100.0,1.19922275390625,True,REGULAR,USD,2024-11-29
NVDA241129C00101000,2024-11-22 19:33:41+00:00,101.0,40.8,40.6,41.45,-6.0,-12.820514,9.0,33.0,1.08984830078125,True,REGULAR,USD,2024-11-29
NVDA241129C00102000,2024-11-22 19:03:01+00:00,102.0,40.11,39.65,40.45,-5.329998,-11.72975,13.0,44.0,1.1035201074218752,True,REGULAR,USD,2024-11-29
NVDA241129C00103000,2024-11-22 19:14:26+00:00,103.0,38.65,38.65,39.4,-2.199997,-5.3855495,41.0,59.0,1.0312548437500002,True,REGULAR,USD,2024-11-29
NVDA241129C00104000,2024-11-22 20:53:20+00:00,104.0,37.9,37.7,38.4,-5.66,-12.993571,61.0,54.0,1.0468797656250002,True,REGULAR,USD,2024-11-29
NVDA241129C00105000,2024-11-22 20:49:18+00:00,105.0,36.88,36.7,37.35,-5.9699974,-13.932316,17.0,63.0,0.976562734375,True,REGULAR,USD,2024-11-29
